EFF_DATE,COUNTRY,STATE,LATITUDE,LONGITUDE,CONFIRMED_CUML,DEATHS_CUML,RECOVERED_CUML,ACTIVE_CUML,CONFIRMED_ABS,DEATHS_ABS,RECOVERED_ABS
2020-03-20,India,Gujarat,,,5,0,0,5,1,0,0
2020-03-21,India,Gujarat,,,7,0,0,7,2,0,0
2020-03-22,India,Gujarat,,,18,0,1,17,11,0,1
2020-03-23,India,Gujarat,,,29,0,1,28,11,0,0
2020-03-24,India,Gujarat,,,32,0,1,31,3,0,0
2020-03-25,India,Gujarat,,,37,0,1,36,5,0,0
2020-03-26,India,Gujarat,,,37,0,2,35,0,0,1
2020-03-07,India,Ladakh,,,2,0,0,2,1,0,0
2020-03-08,India,Ladakh,,,2,0,0,2,0,0,0
2020-03-09,India,Ladakh,,,2,0,0,2,0,0,0
2020-03-10,India,Ladakh,,,2,0,0,2,0,0,0
2020-03-11,India,Ladakh,,,2,0,0,2,0,0,0
2020-03-12,India,Ladakh,,,3,0,0,3,1,0,0
2020-03-13,India,Ladakh,,,3,0,0,3,0,0,0
2020-03-14,India,Ladakh,,,3,0,0,3,0,0,0
2020-03-15,India,Ladakh,,,3,0,0,3,0,0,0
2020-03-16,India,Ladakh,,,4,0,0,4,1,0,0
2020-03-17,India,Ladakh,,,6,0,0,6,2,0,0
2020-03-18,India,Ladakh,,,8,0,0,8,2,0,0
2020-03-19,India,Ladakh,,,8,0,0,8,0,0,0
2020-03-20,India,Ladakh,,,10,0,0,10,2,0,0
2020-03-21,India,Ladakh,,,13,0,0,13,3,0,0
2020-03-22,India,Ladakh,,,13,0,0,13,0,0,0
2020-03-23,India,Ladakh,,,13,0,0,13,0,0,0
2020-03-24,India,Ladakh,,,13,0,0,13,0,0,0
2020-03-25,India,Ladakh,,,13,0,0,13,0,0,0
2020-03-26,India,Ladakh,,,13,0,0,13,0,0,0
2020-03-09,India,Karnataka,,,1,0,0,1,1,0,0
2020-03-10,India,Karnataka,,,4,0,0,4,3,0,0
2020-03-11,India,Karnataka,,,4,0,0,4,0,0,0
2020-03-12,India,Karnataka,,,4,0,0,4,0,0,0
2020-03-13,India,Karnataka,,,6,0,1,5,2,0,1
2020-03-14,India,Karnataka,,,6,0,1,5,0,0,0
2020-03-15,India,Karnataka,,,6,0,1,5,0,0,0
2020-03-16,India,Karnataka,,,6,0,1,5,0,0,0
2020-03-17,India,Karnataka,,,11,0,1,10,5,0,0
2020-03-18,India,Karnataka,,,11,0,1,10,0,0,0
2020-03-19,India,Karnataka,,,14,0,1,13,3,0,0
2020-03-20,India,Karnataka,,,15,1,1,13,1,1,0
2020-03-21,India,Karnataka,,,15,1,1,13,0,0,0
2020-03-22,India,Karnataka,,,26,2,1,23,11,1,0
2020-03-23,India,Karnataka,,,33,2,1,30,7,0,0
2020-03-24,India,Karnataka,,,37,3,1,33,4,1,0
2020-03-25,India,Karnataka,,,41,3,1,37,4,0,0
2020-03-26,India,Karnataka,,,41,3,1,37,0,0,0
2020-03-09,India,Punjab,,,1,0,0,1,1,0,0
2020-03-10,India,Punjab,,,1,0,0,1,0,0,0
2020-03-11,India,Punjab,,,1,0,0,1,0,0,0
2020-03-12,India,Punjab,,,1,0,0,1,0,0,0
2020-03-13,India,Punjab,,,1,0,0,1,0,0,0
2020-03-14,India,Punjab,,,1,0,0,1,0,0,0
2020-03-15,India,Punjab,,,1,0,0,1,0,0,0
2020-03-16,India,Punjab,,,1,0,0,1,0,0,0
2020-03-17,India,Punjab,,,1,0,0,1,0,0,0
2020-03-18,India,Punjab,,,1,0,0,1,0,0,0
