EFF_DATE,FIPS,COUNTY_CITY,PROVINCE_STATE,COUNTRY_REGION,CONFIRMED_CUMULATIVE,DEATHS_CUMULATIVE,RECOVERED_CUMULATIVE,LATITUDE,LONGITUDE
2020-01-22,,,,Japan,2,,,,
2020-01-22,,,,Thailand,2,,,,
2020-01-22,,,,South Korea,1,,,,
2020-01-23,,,,Japan,1,,,,
2020-01-23,,,,South Korea,1,,,,
2020-01-23,,,,Vietnam,2,,,,
2020-01-24,,,,Japan,2,,,,
2020-01-24,,,,Vietnam,2,,,,
2020-01-25,,,,Singapore,3,,,,
2020-01-25,,,,Vietnam,2,,,,
2020-01-26,,,,South Korea,3,,,,
2020-01-26,,,,Malaysia,4,,,,
2020-01-27,,,,Japan,4,,1,,
2020-01-25,,,,South Korea,2,,,,
2020-01-25,,,,Australia,4,,,,
2020-01-26,,,,Nepal,1,,,,
2020-01-26,,,,Canada,1,,,,
2020-01-26,,,,France,3,,,,
2020-01-27,,,,South Korea,4,,,,
2020-01-27,,,,Vietnam,2,,,,
2020-01-27,,,,Cambodia,1,,,,
2020-01-27,,,,Ivory Coast,1,,,,
2020-01-28,,,,Vietnam,2,,,,
2020-01-28,,,,Nepal,1,,,,
2020-01-29,,,,Singapore,7,,,,
2020-01-29,,,,Vietnam,2,,,,
2020-01-29,,,,Germany,4,,,,
2020-01-29,,,,United Arab Emirates,4,,,,
2020-01-31,,,,Nepal,1,,,,
2020-02-01,,,,UK,2,0,0,,
2020-02-02,,,,South Korea,15,0,0,,
2020-02-03,,,,South Korea,15,0,0,,
2020-02-04,,,,Thailand,25,0,5,,
2020-02-04,,,,Japan,22,0,1,,
2020-02-02,,,,UK,2,0,0,,
2020-01-23,,,,Singapore,1,,,,
2020-01-24,,,,South Korea,2,,,,
2020-01-25,,,,Thailand,7,,,,
2020-01-25,,,,France,3,,,,
2020-01-23,,,,Thailand,3,,,,
2020-01-24,,,,Thailand,5,,,,
2020-01-24,,,,France,2,,,,
2020-01-26,,,,Japan,4,,1,,
2020-01-26,,,,Vietnam,2,,,,
2020-01-26,,,,Australia,4,,,,
2020-01-25,,,,Malaysia,3,,,,
2020-01-27,,,,Singapore,5,,,,
2020-01-27,,,,France,3,,,,
2020-01-27,,,,Nepal,1,,,,
2020-01-27,,,,Canada,1,,,,
2020-01-27,,,,Sri Lanka,1,,,,
2020-01-28,,,,Thailand,14,,5,,
2020-01-28,,,,Malaysia,4,,,,
2020-01-28,,,,Canada,2,,,,
2020-01-28,,,,Sri Lanka,1,,,,
2020-01-28,,,,Germany,4,,,,
2020-01-29,,,,Japan,7,,1,,
2020-01-29,,,,Thailand,14,,5,,
2020-01-29,,,,South Korea,4,,,,
2020-01-29,,,,Malaysia,7,,,,
2020-01-29,,,,Finland,1,,,,
2020-01-30,,,,Japan,11,,1,,
2020-01-30,,,,Thailand,14,,5,,
2020-01-30,,,,South Korea,4,,,,
2020-01-30,,,,Vietnam,2,,,,
2020-01-30,,,,Nepal,1,,,,
2020-01-30,,,,Malaysia,8,,,,
2020-01-30,,,,Germany,4,,,,
2020-01-30,,,,Finland,1,,,,
2020-01-30,,,,Philippines,1,,,,
2020-01-30,,,,India,1,,,,
2020-01-31,,,,South Korea,11,,,,
2020-01-31,,,,Germany,5,,,,
2020-01-31,,,,Australia,9,,2,,
2020-01-31,,,,Russia,2,,,,
2020-01-31,,,,Philippines,1,,,,
2020-01-31,,,,India,1,,,,
2020-02-01,,,,Malaysia,8,0,0,,
2020-02-01,,,,Vietnam,6,0,1,,
2020-02-01,,,,United Arab Emirates,4,0,0,,
2020-02-01,,,,Finland,1,0,0,,
2020-02-01,,,,Sri Lanka,1,0,0,,
2020-02-02,,,,Singapore,18,0,0,,
2020-02-02,,,,Canada,4,0,0,,
2020-02-02,,,,India,2,0,0,,
2020-02-02,,,,Finland,1,0,0,,
2020-02-03,,,,Malaysia,8,0,0,,
2020-02-03,,,,Australia,12,0,2,,
2020-02-03,,,,Canada,4,0,0,,
2020-02-04,,,,United Arab Emirates,5,0,0,,
2020-02-04,,,,Italy,2,0,0,,
2020-02-04,,,,Belgium,1,0,0,,
2020-02-04,,,,Cambodia,1,0,0,,
2020-01-28,,,,Singapore,7,,,,
2020-01-28,,,,Cambodia,1,,,,
2020-01-31,,,,Vietnam,2,,,,
2020-01-31,,,,Canada,3,,,,
2020-01-31,,,,Italy,2,,,,
2020-01-31,,,,Sri Lanka,1,,,,
2020-02-01,,,,Australia,12,0,2,,
2020-02-02,,,,Japan,20,0,1,,
2020-02-02,,,,Malaysia,8,0,0,,
2020-02-03,,,,Italy,2,0,0,,
2020-01-27,,,,Thailand,8,,2,,
2020-01-24,,,,Singapore,3,,,,
2020-01-25,,,,Japan,2,,,,
2020-01-25,,,,Nepal,1,,,,
2020-01-26,,,,Thailand,8,,2,,
2020-01-26,,,,Singapore,4,,,,
2020-01-27,,,,Malaysia,4,,,,
2020-01-27,,,,Australia,5,,,,
2020-01-28,,,,Japan,7,,1,,
2020-01-28,,,,France,4,,,,
2020-01-28,,,,Australia,5,,,,
2020-01-29,,,,Nepal,1,,,,
2020-01-29,,,,Cambodia,1,,,,
2020-01-29,,,,Australia,5,,,,
2020-01-30,,,,Singapore,10,,,,
2020-01-30,,,,France,5,,,,
2020-01-30,,,,Canada,3,,,,
2020-01-30,,,,Sri Lanka,1,,,,
2020-01-30,,,,Australia,9,,2,,
2020-01-31,,,,Malaysia,8,,,,
2020-01-31,,,,France,5,,,,
2020-01-31,,,,Finland,1,,,,
2020-01-31,,,,Sweden,1,,,,
2020-02-01,,,,Japan,20,0,1,,
2020-02-01,,,,Singapore,16,0,0,,
2020-02-01,,,,South Korea,12,0,0,,
2020-02-01,,,,Germany,8,0,0,,
2020-02-01,,,,Canada,4,0,0,,
2020-02-01,,,,Italy,2,0,0,,
2020-02-01,,,,Russia,2,0,0,,
2020-02-01,,,,Nepal,1,0,0,,
2020-02-02,,,,Italy,2,0,0,,
2020-02-02,,,,Philippines,2,1,0,,
2020-02-02,,,,Cambodia,1,0,0,,
2020-02-02,,,,Nepal,1,0,0,,
2020-02-03,,,,Thailand,19,0,5,,
2020-02-03,,,,Vietnam,8,0,1,,
2020-02-03,,,,France,6,0,0,,
2020-02-03,,,,India,3,0,0,,
2020-02-03,,,,Nepal,1,0,0,,
2020-02-04,,,,Germany,12,0,0,,
2020-02-04,,,,Malaysia,10,0,0,,
2020-02-04,,,,Australia,13,0,2,,
2020-02-04,,,,Nepal,1,0,0,,
2020-02-04,,,,Sri Lanka,1,0,0,,
2020-01-28,,,,South Korea,4,,,,
2020-01-30,,,,United Arab Emirates,4,,,,
2020-01-31,,,,Thailand,19,,5,,
2020-01-31,,,,Japan,15,,1,,
2020-01-31,,,,United Arab Emirates,4,,,,
2020-01-31,,,,UK,2,,,,
2020-01-31,,,,Cambodia,1,,,,
2020-02-01,,,,Cambodia,1,0,0,,
2020-02-01,,,,Spain,1,0,0,,
2020-02-01,,,,Sweden,1,0,0,,
2020-02-02,,,,France,6,0,0,,
2020-02-02,,,,Vietnam,6,0,1,,
2020-02-02,,,,Spain,1,0,0,,
2020-02-02,,,,Sri Lanka,1,0,0,,
2020-02-02,,,,Sweden,1,0,0,,
2020-02-03,,,,Japan,20,0,1,,
2020-02-03,,,,United Arab Emirates,5,0,0,,
2020-01-29,,,,Canada,2,,,,
2020-02-01,,,,India,1,0,0,,
2020-02-02,,,,Thailand,19,0,5,,
2020-02-02,,,,United Arab Emirates,5,0,0,,
2020-02-02,,,,Australia,12,0,2,,
2020-02-02,,,,Russia,2,0,0,,
2020-02-03,,,,Russia,2,0,0,,
2020-02-03,,,,Cambodia,1,0,0,,
2020-01-29,,,,France,5,,,,
2020-01-30,,,,Cambodia,1,,,,
2020-02-01,,,,Thailand,19,0,5,,
2020-01-22,,,,Macau,1,,,,
2020-01-22,,,,Taiwan,1,,,,
2020-01-23,,,,Hong Kong,2,,,,
2020-01-23,,,,Taiwan,1,,,,
2020-01-24,,,,Macau,2,,,,
2020-01-26,,,,Hong Kong,8,,,,
2020-01-27,,,,Hong Kong,8,,,,
2020-01-27,,,,Macau,6,,,,
2020-01-23,,,,Macau,2,,,,
2020-01-25,,,,Hong Kong,5,,,,
2020-01-25,,,,Taiwan,3,,,,
2020-01-26,,,,Taiwan,4,,,,
2020-01-26,,,,Macau,5,,,,
2020-01-28,,,,Macau,7,,,,
2020-02-01,,,,Macau,7,0,0,,
2020-01-24,,,,Taiwan,3,,,,
2020-01-25,,,,Macau,2,,,,
2020-01-24,,,,Hong Kong,2,,,,
2020-01-27,,,,Taiwan,5,,,,
2020-01-28,,,,Taiwan,8,,,,
2020-01-28,,,,Hong Kong,8,,,,
2020-01-29,,,,Taiwan,8,,,,
2020-01-29,,,,Macau,7,,,,
2020-01-30,,,,Taiwan,9,,,,
2020-01-30,,,,Macau,7,,,,
2020-02-01,,,,Hong Kong,13,0,0,,
2020-02-02,,,,Taiwan,10,0,0,,
2020-01-29,,,,Hong Kong,10,,,,
2020-01-30,,,,Hong Kong,10,,,,
2020-01-31,,,,Taiwan,10,,,,
2020-02-03,,,,Hong Kong,15,0,0,,
2020-02-03,,,,Taiwan,10,0,0,,
2020-02-04,,,,Taiwan,11,0,0,,
2020-01-31,,,,Hong Kong,12,,,,
2020-01-31,,,,Macau,7,,,,
2020-02-02,,,,Hong Kong,15,0,0,,
2020-02-02,,,,Macau,8,0,0,,
2020-02-03,,,,Macau,8,0,0,,
2020-02-01,,,,Taiwan,10,0,0,,
2020-02-03,,,,Singapore,18,0,0,,
2020-01-22,,,,USA,1,,,,
2020-01-23,,,,USA,1,,,,
2020-01-26,,,,USA,5,,,,
2020-01-25,,,,USA,2,,,,
2020-02-01,,,,USA,8,0,0,,
2020-01-24,,,,USA,2,,,,
2020-01-27,,,,USA,5,,,,
2020-01-28,,,,USA,5,,,,
2020-01-29,,,,USA,5,,,,
2020-01-30,,,,USA,5,,,,
2020-01-31,,,,USA,6,,,,
2020-02-02,,,,USA,8,0,0,,
2020-02-03,,,,USA,11,0,0,,
2020-02-03,,,,Finland,1,0,0,,
2020-02-03,,,,Spain,1,0,0,,
2020-02-03,,,,Sri Lanka,1,0,0,,
2020-02-03,,,,Sweden,1,0,0,,
2020-01-22,,,,China,547,17,28,,
2020-01-23,,,,China,639,18,30,,
2020-01-28,,,,China,5494,131,101,,
2020-01-30,,,,China,8124,171,135,,
2020-01-24,,,,China,916,26,36,,
2020-01-26,,,,China,2062,56,49,,
2020-01-27,,,,China,2863,82,58,,
2020-01-25,,,,China,1399,42,39,,
2020-01-29,,,,China,6070,133,120,,
2020-01-31,,,,China,9783,213,214,,
2020-02-02,,,,China,16607,361,463,,
2020-02-01,,,,China,11871,259,275,,
2020-02-03,,,,China,19693,425,614,,
2020-02-04,,,,China,23680,490,843,,
2020-02-04,,,,Singapore,24,0,0,,
2020-02-04,,,,South Korea,16,0,0,,
2020-02-04,,,,Vietnam,8,0,1,,
2020-02-04,,,,France,6,0,0,,
2020-02-04,,,,India,3,0,0,,
2020-02-04,,,,Philippines,2,1,0,,
2020-02-04,,,,Russia,2,0,0,,
2020-02-04,,,,UK,2,0,0,,
2020-02-04,,,,Finland,1,0,0,,
2020-01-29,,,,Sri Lanka,1,,,,
2020-01-31,,,,Singapore,13,,,,
2020-02-01,,,,France,6,0,0,,
2020-02-01,,,,Philippines,1,0,0,,
2020-02-02,,,,Germany,10,0,0,,
2020-02-03,,,,Germany,12,0,0,,
2020-02-03,,,,Philippines,2,1,0,,
2020-02-03,,,,UK,2,0,0,,
2020-02-04,,,,Canada,4,0,0,,
2020-02-04,,,,Spain,1,0,0,,
2020-02-05,,,,Singapore,28,0,0,,
2020-02-05,,,,Thailand,25,0,5,,
2020-02-05,,,,South Korea,19,0,0,,
2020-02-05,,,,Germany,12,0,0,,
2020-02-05,,,,Malaysia,12,0,0,,
2020-02-05,,,,Vietnam,8,0,1,,
2020-02-05,,,,France,6,0,0,,
2020-02-05,,,,United Arab Emirates,5,0,0,,
2020-02-05,,,,Australia,13,0,2,,
2020-02-05,,,,India,3,0,0,,
2020-02-05,,,,Canada,5,0,0,,
2020-02-05,,,,Philippines,2,1,0,,
2020-02-05,,,,Russia,2,0,0,,
2020-02-05,,,,UK,2,0,0,,
2020-02-05,,,,Belgium,1,0,0,,
2020-02-05,,,,Cambodia,1,0,0,,
2020-02-05,,,,Finland,1,0,0,,
2020-02-05,,,,Nepal,1,0,0,,
2020-02-05,,,,Spain,1,0,0,,
2020-02-05,,,,Sri Lanka,1,0,0,,
2020-02-05,,,,Sweden,1,0,0,,
2020-02-06,,,,Singapore,28,0,0,,
2020-02-06,,,,Thailand,25,0,5,,
2020-02-06,,,,South Korea,23,0,0,,
2020-02-06,,,,Germany,12,0,0,,
2020-02-06,,,,Vietnam,10,0,1,,
2020-02-06,,,,France,6,0,0,,
2020-02-06,,,,United Arab Emirates,5,0,0,,
2020-02-06,,,,Australia,14,0,2,,
2020-02-06,,,,India,3,0,0,,
2020-02-06,,,,Canada,5,0,0,,
2020-02-06,,,,Italy,2,0,0,,
2020-02-06,,,,Philippines,2,1,0,,
2020-02-06,,,,UK,2,0,0,,
2020-02-06,,,,Belgium,1,0,0,,
2020-02-06,,,,Cambodia,1,0,0,,
2020-02-06,,,,Spain,1,0,0,,
2020-02-06,,,,Sri Lanka,1,0,0,,
2020-02-06,,,,Sweden,1,0,0,,
2020-02-07,,,,Singapore,30,0,0,,
2020-02-07,,,,Japan,25,0,1,,
2020-02-07,,,,South Korea,24,0,1,,
2020-02-07,,,,Germany,13,0,0,,
2020-02-07,,,,Malaysia,12,0,1,,
2020-02-07,,,,France,6,0,0,,
2020-02-07,,,,Australia,15,0,2,,
